Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"LINC01614","Long Intergenic Non-Protein Coding RNA 1614","RNA Gene","","14","GC02P215717","4.88606452941895","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINC01614"
"CPT1A","Carnitine Palmitoyltransferase 1A","Protein Coding","P50416","57","GC11M068754","4.88502502441406","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CPT1A"
"MLLT11","MLLT11 Transcription Factor 7 Cofactor","Protein Coding","Q13015","43","GC01P160384","4.88436365127563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MLLT11"
"STOML2","Stomatin Like 2","Protein Coding","Q9UJZ1","45","GC09M035099","4.88398027420044","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STOML2"
"MPLKIP","M-Phase Specific PLK1 Interacting Protein","Protein Coding","Q8TAP9","44","GC07M040126","4.88236618041992","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MPLKIP"
"EMD","Emerin","Protein Coding","P50402","54","GC0XP154379","4.88088893890381","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EMD"
"SULT2A1","Sulfotransferase Family 2A Member 1","Protein Coding","Q06520","52","GC19M047870","4.88073778152466","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SULT2A1"
"ASAH1","N-Acylsphingosine Amidohydrolase 1","Protein Coding","Q13510","57","GC08M018055","4.87545490264893","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASAH1"
"CNTROB","Centrobin, Centriole Duplication And Spindle Assembly Protein","Protein Coding","Q8N137","44","GC17P007932","4.87467193603516","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTROB"
"CCN3","Cellular Communication Network Factor 3","Protein Coding","P48745","47","GC08P119416","4.87455797195435","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CCN3"
"ATAD3B","ATPase Family AAA Domain Containing 3B","Protein Coding","Q5T9A4","44","GC01P011096","4.87410545349121","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATAD3B"
"LOXL1-AS1","LOXL1 Antisense RNA 1","RNA Gene","","23","GC15M144451","4.87334966659546","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOXL1-AS1"
"TARS1","Threonyl-TRNA Synthetase 1","Protein Coding","P26639","51","GC05P033459","4.8711724281311","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TARS1"
"MIR1260A","MicroRNA 1260a","RNA Gene","","15","GC14P077266","4.87026596069336","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1260A"
"FRAS1","Fraser Extracellular Matrix Complex Subunit 1","Protein Coding","Q86XX4","45","GC04P078057","4.86972713470459","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FRAS1"
"GRWD1","Glutamate Rich WD Repeat Containing 1","Protein Coding","Q9BQ67","43","GC19P048445","4.86795806884766","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GRWD1"
"SF3B3","Splicing Factor 3b Subunit 3","Protein Coding","Q15393","43","GC16P070523","4.86548042297363","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SF3B3"
"ENOSF1","Enolase Superfamily Member 1","Protein Coding","Q7L5Y1","43","GC18M001033","4.86471366882324","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ENOSF1"
"MUC7","Mucin 7, Secreted","Protein Coding","Q8TAX7","44","GC04P070430","4.86196327209473","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC7"
"MAPK8IP1","Mitogen-Activated Protein Kinase 8 Interacting Protein 1","Protein Coding","Q9UQF2","53","GC11P047361","4.86120462417603","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPK8IP1"
"COL14A1","Collagen Type XIV Alpha 1 Chain","Protein Coding","Q05707","47","GC08P120109","4.85843467712402","https://www.genecards.org/cgi-bin/carddisp.pl?gene=COL14A1"
"DAG1","Dystroglycan 1","Protein Coding","Q14118","55","GC03P055996","4.85784864425659","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DAG1"
"PLA2G6","Phospholipase A2 Group VI","Protein Coding","O60733","56","GC22M076500","4.85670185089111","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLA2G6"
"MERTK","MER Proto-Oncogene, Tyrosine Kinase","Protein Coding","Q12866","59","GC02P111898","4.85387229919434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MERTK"
"CNDP2","Carnosine Dipeptidase 2","Protein Coding","Q96KP4","50","GC18P074495","4.85150051116943","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNDP2"
"HIF1AN","Hypoxia Inducible Factor 1 Subunit Alpha Inhibitor","Protein Coding","Q9NWT6","49","GC10P100529","4.85099792480469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HIF1AN"
"RASAL2","RAS Protein Activator Like 2","Protein Coding","Q9UJF2","42","GC01P178093","4.84791851043701","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RASAL2"
"MUC13","Mucin 13, Cell Surface Associated","Protein Coding","Q9H3R2","40","GC03M124905","4.84790706634521","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MUC13"
"MIR1290","MicroRNA 1290","RNA Gene","","15","GC01M018897","4.84626865386963","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1290"
"LIPE","Lipase E, Hormone Sensitive Type","Protein Coding","Q05469","56","GC19M042401","4.84538888931274","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LIPE"
"FLVCR1-DT","FLVCR1 Divergent Transcript","RNA Gene","Q8TAF5","18","GC01M212856","4.84495687484741","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLVCR1-DT"
"ASIP","Agouti Signaling Protein","Protein Coding","P42127","46","GC20P039500","4.84460353851318","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ASIP"
"SKI","SKI Proto-Oncogene","Protein Coding","P12755","54","GC01P011132","4.84242248535156","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SKI"
"TXNRD2","Thioredoxin Reductase 2","Protein Coding","Q9NNW7","54","GC22M019876","4.84053897857666","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TXNRD2"
"SUSD2","Sushi Domain Containing 2","Protein Coding","Q9UGT4","43","GC22P024181","4.83891916275024","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SUSD2"
"ARHGEF1","Rho Guanine Nucleotide Exchange Factor 1","Protein Coding","Q92888","54","GC19P041883","4.83735084533691","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARHGEF1"
"STK3","Serine/Threonine Kinase 3","Protein Coding","Q13188","49","GC08M098343","4.83618354797363","https://www.genecards.org/cgi-bin/carddisp.pl?gene=STK3"
"FTH1","Ferritin Heavy Chain 1","Protein Coding","P02794","58","GC11M061959","4.8338303565979","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FTH1"
"UCP2","Uncoupling Protein 2","Protein Coding","P55851","55","GC11M073974","4.83165502548218","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UCP2"
"ATG13","Autophagy Related 13","Protein Coding","O75143","49","GC11P047383","4.83157253265381","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG13"
"GAPDHS","Glyceraldehyde-3-Phosphate Dehydrogenase, Spermatogenic","Protein Coding","O14556","49","GC19P102950","4.83063888549805","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GAPDHS"
"CASK","Calcium/Calmodulin Dependent Serine Protein Kinase","Protein Coding","O14936","58","GC0XM041514","4.82955646514893","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CASK"
"PTK7","Protein Tyrosine Kinase 7 (Inactive)","Protein Coding","Q13308","53","GC06P043076","4.82942390441895","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTK7"
"PLIN2","Perilipin 2","Protein Coding","Q99541","50","GC09M019249","4.8290696144104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLIN2"
"JAG2","Jagged Canonical Notch Ligand 2","Protein Coding","Q9Y219","52","GC14M105140","4.82766532897949","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JAG2"
"KIF2A","Kinesin Family Member 2A","Protein Coding","O00139","51","GC05P062306","4.82729864120483","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KIF2A"
"IRF7","Interferon Regulatory Factor 7","Protein Coding","Q92985","56","GC11M000612","4.82486867904663","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF7"
"RHPN1-AS1","RHPN1 Antisense RNA 1 (Head To Head)","RNA Gene","Q9BWJ2","24","GC08M143484","4.82444953918457","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RHPN1-AS1"
"REV1","REV1 DNA Directed Polymerase","Protein Coding","Q9UBZ9","49","GC02M100568","4.82306432723999","https://www.genecards.org/cgi-bin/carddisp.pl?gene=REV1"
"PDK4","Pyruvate Dehydrogenase Kinase 4","Protein Coding","Q16654","51","GC07M095583","4.81576013565063","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PDK4"
"UPK1A","Uroplakin 1A","Protein Coding","O00322","44","GC19P102955","4.81028270721436","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UPK1A"
"DACH2","Dachshund Family Transcription Factor 2","Protein Coding","Q96NX9","46","GC0XP086148","4.80681657791138","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DACH2"
"MEIOB","Meiosis Specific With OB-Fold","Protein Coding","Q8N635","42","GC16M001833","4.80167865753174","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MEIOB"
"MAPKAP1","MAPK Associated Protein 1","Protein Coding","Q9BPZ7","50","GC09M125437","4.80152988433838","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAPKAP1"
"KTN1","Kinectin 1","Protein Coding","Q86UP2","48","GC14P055559","4.7967643737793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KTN1"
"RASSF2","Ras Association Domain Family Member 2","Protein Coding","P50749","43","GC20M004780","4.79590797424316","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RASSF2"
"TCEAL7","Transcription Elongation Factor A Like 7","Protein Coding","Q9BRU2","35","GC0XP103330","4.79579973220825","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TCEAL7"
"HCK","HCK Proto-Oncogene, Src Family Tyrosine Kinase","Protein Coding","P08631","57","GC20P032052","4.79516983032227","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HCK"
"MCPH1","Microcephalin 1","Protein Coding","Q8NEM0","49","GC08P006406","4.79253005981445","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCPH1"
"FLII","FLII Actin Remodeling Protein","Protein Coding","Q13045","50","GC17M018244","4.78698778152466","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FLII"
"IFNGR1","Interferon Gamma Receptor 1","Protein Coding","P15260","60","GC06M137197","4.78640604019165","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IFNGR1"
"NR0B2","Nuclear Receptor Subfamily 0 Group B Member 2","Protein Coding","Q15466","49","GC01M030568","4.78604936599731","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR0B2"
"F10","Coagulation Factor X","Protein Coding","P00742","58","GC13P113122","4.78544235229492","https://www.genecards.org/cgi-bin/carddisp.pl?gene=F10"
"RPL7","Ribosomal Protein L7","Protein Coding","P18124","49","GC08M073290","4.78411531448364","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL7"
"ITGAL","Integrin Subunit Alpha L","Protein Coding","P20701","55","GC16P030472","4.78316116333008","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ITGAL"
"TGM3","Transglutaminase 3","Protein Coding","Q08188","50","GC20P002296","4.78301382064819","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TGM3"
"HAS2-AS1","HAS2 Antisense RNA 1","RNA Gene","","22","GC08P121639","4.7825231552124","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HAS2-AS1"
"CARD11","Caspase Recruitment Domain Family Member 11","Protein Coding","Q9BXL7","55","GC07M002906","4.78186178207397","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CARD11"
"SPTLC1","Serine Palmitoyltransferase Long Chain Base Subunit 1","Protein Coding","O15269","55","GC09M107150","4.78181791305542","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPTLC1"
"ADCYAP1","Adenylate Cyclase Activating Polypeptide 1","Protein Coding","P18509","50","GC18P000895","4.78065299987793","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADCYAP1"
"UBD","Ubiquitin D","Protein Coding","O15205","45","GC06M090603","4.77908945083618","https://www.genecards.org/cgi-bin/carddisp.pl?gene=UBD"
"ADAMTS19","ADAM Metallopeptidase With Thrombospondin Type 1 Motif 19","Protein Coding","Q8TE59","45","GC05P129460","4.77732276916504","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ADAMTS19"
"BRD3","Bromodomain Containing 3","Protein Coding","Q15059","49","GC09M134030","4.77720022201538","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BRD3"
"RBM15","RNA Binding Motif Protein 15","Protein Coding","Q96T37","45","GC01P110338","4.77620983123779","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RBM15"
"EIF5B","Eukaryotic Translation Initiation Factor 5B","Protein Coding","O60841","48","GC02P099337","4.77529907226563","https://www.genecards.org/cgi-bin/carddisp.pl?gene=EIF5B"
"SOX18","SRY-Box Transcription Factor 18","Protein Coding","P35713","49","GC20M064047","4.77270412445068","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOX18"
"BLMH","Bleomycin Hydrolase","Protein Coding","Q13867","51","GC17M030248","4.77258920669556","https://www.genecards.org/cgi-bin/carddisp.pl?gene=BLMH"
"NEO1","Neogenin 1","Protein Coding","Q92859","50","GC15P073051","4.77224016189575","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NEO1"
"ANTXR1","ANTXR Cell Adhesion Molecule 1","Protein Coding","Q9H6X2","54","GC02P068977","4.77177333831787","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANTXR1"
"PHLDA1","Pleckstrin Homology Like Domain Family A Member 1","Protein Coding","Q8WV24","43","GC12M076025","4.76855611801147","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PHLDA1"
"CDK11A","Cyclin Dependent Kinase 11A","Protein Coding","Q9UQ88","47","GC01M001702","4.76026058197021","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDK11A"
"NR4A2","Nuclear Receptor Subfamily 4 Group A Member 2","Protein Coding","P43354","54","GC02M156324","4.75859928131104","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NR4A2"
"CFI","Complement Factor I","Protein Coding","P05156","55","GC04M109732","4.75440216064453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CFI"
"LINCMD1","Long Intergenic Non-Protein Coding RNA, Muscle Differentiation 1","RNA Gene","","21","GC06M052146","4.75373554229736","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LINCMD1"
"SPANXA2","SPANX Family Member A2","Protein Coding","Q9NS26","27","GC0XP141590","4.75326919555664","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPANXA2"
"KLK1","Kallikrein 1","Protein Coding","P06870","56","GC19M050819","4.75259828567505","https://www.genecards.org/cgi-bin/carddisp.pl?gene=KLK1"
"ACTR3","Actin Related Protein 3","Protein Coding","P61158","48","GC02P113889","4.75178813934326","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ACTR3"
"CNR1","Cannabinoid Receptor 1","Protein Coding","P21554","55","GC06M088139","4.74933433532715","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNR1"
"NUDT6","Nudix Hydrolase 6","Protein Coding","P53370","44","GC04M122888","4.74929332733154","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUDT6"
"SNORD95","Small Nucleolar RNA, C/D Box 95","RNA Gene","","22","GC05M181243","4.74892139434814","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD95"
"CNTLN","Centlein","Protein Coding","Q9NXG0","43","GC09P017124","4.74840021133423","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CNTLN"
"SNORD24","Small Nucleolar RNA, C/D Box 24","RNA Gene","","24","GC09P133349","4.74724006652832","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SNORD24"
"PBX3","PBX Homeobox 3","Protein Coding","P40426","47","GC09P125747","4.74611854553223","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PBX3"
"PROCR","Protein C Receptor","Protein Coding","Q9UNN8","50","GC20P035171","4.74449777603149","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PROCR"
"NXF2","Nuclear RNA Export Factor 2","Protein Coding","Q9GZY0","37","GC0XP102247","4.74438333511353","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NXF2"
"MCM3AP","Minichromosome Maintenance Complex Component 3 Associated Protein","Protein Coding","O60318","49","GC21M046235","4.74115371704102","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MCM3AP"
"HNRNPH2","Heterogeneous Nuclear Ribonucleoprotein H2","Protein Coding","P55795","49","GC0XP101408","4.74011754989624","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPH2"
"MIR105-1","MicroRNA 105-1","RNA Gene","","15","GC0XM152392","4.73861408233643","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR105-1"
"DHCR7","7-Dehydrocholesterol Reductase","Protein Coding","Q9UBM7","56","GC11M071428","4.73808717727661","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DHCR7"
"MIR509-3","MicroRNA 509-3","RNA Gene","","15","GC0XM147259","4.73805713653564","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR509-3"
"NOD1","Nucleotide Binding Oligomerization Domain Containing 1","Protein Coding","Q9Y239","51","GC07M030424","4.73619651794434","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NOD1"
"IRF8","Interferon Regulatory Factor 8","Protein Coding","Q02556","54","GC16P085900","4.73453760147095","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IRF8"
"CYB5A","Cytochrome B5 Type A","Protein Coding","P00167","52","GC18M074250","4.73434734344482","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CYB5A"
"LOC110408762","CYP17A1 Promoter","Functional Element","","3","GC10P102837","4.73337841033936","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC110408762"
"PIM2","Pim-2 Proto-Oncogene, Serine/Threonine Kinase","Protein Coding","Q9P1W9","49","GC0XM048913","4.73048782348633","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PIM2"
"SMARCD2","SWI/SNF Related, Matrix Associated, Actin Dependent Regulator Of Chromatin, Subfamily D, Member 2","Protein Coding","Q92925","48","GC17M063832","4.73011684417725","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SMARCD2"
"ARMC5","Armadillo Repeat Containing 5","Protein Coding","Q96C12","43","GC16P066119","4.72885894775391","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ARMC5"
"PER3","Period Circadian Regulator 3","Protein Coding","P56645","50","GC01P011527","4.72778367996216","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PER3"
"SIRT2","Sirtuin 2","Protein Coding","Q8IXJ6","56","GC19M038878","4.72760200500488","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SIRT2"
"MADD","MAP Kinase Activating Death Domain","Protein Coding","Q8WXG6","53","GC11P047427","4.72692966461182","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MADD"
"HTR3A","5-Hydroxytryptamine Receptor 3A","Protein Coding","P46098","54","GC11P113975","4.72291707992554","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HTR3A"
"PPP1R3C","Protein Phosphatase 1 Regulatory Subunit 3C","Protein Coding","Q9UQK1","46","GC10M091628","4.7209792137146","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R3C"
"CA12","Carbonic Anhydrase 12","Protein Coding","O43570","54","GC15M063321","4.71877241134644","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CA12"
"VSIR","V-Set Immunoregulatory Receptor","Protein Coding","Q9H7M9","44","GC10M071748","4.71615505218506","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VSIR"
"RUVBL2","RuvB Like AAA ATPase 2","Protein Coding","Q9Y230","51","GC19P048993","4.71567916870117","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RUVBL2"
"NID2","Nidogen 2","Protein Coding","Q14112","47","GC14M052004","4.71467161178589","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NID2"
"LUM","Lumican","Protein Coding","P51884","49","GC12M091102","4.71406507492065","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LUM"
"H4C1","H4 Clustered Histone 1","Protein Coding","P62805","42","GC06P125261","4.71370506286621","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H4C1"
"RPL19","Ribosomal Protein L19","Protein Coding","P84098","48","GC17P039200","4.71227216720581","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL19"
"LOC129997916","ATAC-STARR-Seq Lymphoblastoid Active Region 25614","Functional Element","","5","GC07P011124","4.71225214004517","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LOC129997916"
"USP14","Ubiquitin Specific Peptidase 14","Protein Coding","P54578","51","GC18P000158","4.70978832244873","https://www.genecards.org/cgi-bin/carddisp.pl?gene=USP14"
"PPP1R15A","Protein Phosphatase 1 Regulatory Subunit 15A","Protein Coding","O75807","46","GC19P048872","4.70721197128296","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PPP1R15A"
"PC","Pyruvate Carboxylase","Protein Coding","P11498","55","GC11M066848","4.70562314987183","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PC"
"H2AC20","H2A Clustered Histone 20","Protein Coding","Q16777","45","GC01P160289","4.70492362976074","https://www.genecards.org/cgi-bin/carddisp.pl?gene=H2AC20"
"GNAI1","G Protein Subunit Alpha I1","Protein Coding","P63096","55","GC07P084531","4.70451354980469","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GNAI1"
"RYK","Receptor Like Tyrosine Kinase","Protein Coding","P34925","50","GC03M134065","4.69922637939453","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RYK"
"FREM1","FRAS1 Related Extracellular Matrix 1","Protein Coding","Q5H8C1","50","GC09M014734","4.69852685928345","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FREM1"
"AFDN","Afadin, Adherens Junction Formation Factor","Protein Coding","P55196","50","GC06P167828","4.69815444946289","https://www.genecards.org/cgi-bin/carddisp.pl?gene=AFDN"
"ERBIN","Erbb2 Interacting Protein","Protein Coding","Q96RT1","47","GC05P065884","4.69802093505859","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ERBIN"
"CDT1","Chromatin Licensing And DNA Replication Factor 1","Protein Coding","Q9H211","51","GC16P088803","4.69654893875122","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CDT1"
"CD1A","CD1a Molecule","Protein Coding","P06126","49","GC01P160850","4.69506359100342","https://www.genecards.org/cgi-bin/carddisp.pl?gene=CD1A"
"SAG","S-Antigen Visual Arrestin","Protein Coding","P10523","54","GC02P233490","4.69393634796143","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SAG"
"MIR1271","MicroRNA 1271","RNA Gene","","19","GC05P176367","4.69344139099121","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MIR1271"
"ANLN","Anillin, Actin Binding Protein","Protein Coding","Q9NQW6","50","GC07P036389","4.69188213348389","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ANLN"
"FGF14","Fibroblast Growth Factor 14","Protein Coding","Q92915","51","GC13M101710","4.69121074676514","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FGF14"
"JARID2","Jumonji And AT-Rich Interaction Domain Containing 2","Protein Coding","Q92833","51","GC06P015246","4.68969202041626","https://www.genecards.org/cgi-bin/carddisp.pl?gene=JARID2"
"NMT1","N-Myristoyltransferase 1","Protein Coding","P30419","51","GC17P101677","4.68903827667236","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMT1"
"PLAAT3","Phospholipase A And Acyltransferase 3","Protein Coding","P53816","47","GC11M121104","4.68798398971558","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PLAAT3"
"TNXB","Tenascin XB","Protein Coding","P22105","51","GC06M090766","4.68429088592529","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TNXB"
"SOD3","Superoxide Dismutase 3","Protein Coding","P08294","52","GC04P024798","4.68398523330688","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SOD3"
"C1QBP","Complement C1q Binding Protein","Protein Coding","Q07021","53","GC17M005432","4.68344402313232","https://www.genecards.org/cgi-bin/carddisp.pl?gene=C1QBP"
"GPHN","Gephyrin","Protein Coding","Q9NQX3","57","GC14P066507","4.68235111236572","https://www.genecards.org/cgi-bin/carddisp.pl?gene=GPHN"
"IL1RAPL2","Interleukin 1 Receptor Accessory Protein Like 2","Protein Coding","Q9NP60","48","GC0XP104566","4.68135976791382","https://www.genecards.org/cgi-bin/carddisp.pl?gene=IL1RAPL2"
"DPEP1","Dipeptidase 1","Protein Coding","P16444","52","GC16P089613","4.67992353439331","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DPEP1"
"DNAH2","Dynein Axonemal Heavy Chain 2","Protein Coding","Q9P225","43","GC17P007717","4.67404413223267","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNAH2"
"DNM2","Dynamin 2","Protein Coding","P50570","58","GC19P010718","4.66897439956665","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DNM2"
"NUCB2","Nucleobindin 2","Protein Coding","P80303","47","GC11P017809","4.66729784011841","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NUCB2"
"RPL17","Ribosomal Protein L17","Protein Coding","P18621","43","GC18M049488","4.66727352142334","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPL17"
"SETX","Senataxin","Protein Coding","Q7Z333","51","GC09M132261","4.66659450531006","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SETX"
"PANX1","Pannexin 1","Protein Coding","Q96RD7","54","GC11P094128","4.66591644287109","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PANX1"
"LONP1","Lon Peptidase 1, Mitochondrial","Protein Coding","P36776","54","GC19M005691","4.66554355621338","https://www.genecards.org/cgi-bin/carddisp.pl?gene=LONP1"
"SPINK2","Serine Peptidase Inhibitor Kazal Type 2","Protein Coding","P20155","46","GC04M056809","4.66423940658569","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPINK2"
"TM9SF4","Transmembrane 9 Superfamily Member 4","Protein Coding","Q92544","43","GC20P032109","4.66420269012451","https://www.genecards.org/cgi-bin/carddisp.pl?gene=TM9SF4"
"SPATA22","Spermatogenesis Associated 22","Protein Coding","Q8NHS9","44","GC17M003440","4.66242408752441","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SPATA22"
"PTMA","Prothymosin Alpha","Protein Coding","P06454","50","GC02P232416","4.66076755523682","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PTMA"
"RPS3A","Ribosomal Protein S3A","Protein Coding","P61247","47","GC04P151099","4.65999412536621","https://www.genecards.org/cgi-bin/carddisp.pl?gene=RPS3A"
"FBN2","Fibrillin 2","Protein Coding","P35556","50","GC05M128257","4.6587290763855","https://www.genecards.org/cgi-bin/carddisp.pl?gene=FBN2"
"DMRTA1","DMRT Like Family A1","Protein Coding","Q5VZB9","43","GC09P022436","4.65848064422607","https://www.genecards.org/cgi-bin/carddisp.pl?gene=DMRTA1"
"NMI","N-Myc And STAT Interactor","Protein Coding","Q13287","45","GC02M151270","4.65721368789673","https://www.genecards.org/cgi-bin/carddisp.pl?gene=NMI"
"HNRNPH1","Heterogeneous Nuclear Ribonucleoprotein H1","Protein Coding","P31943","50","GC05M179614","4.65637302398682","https://www.genecards.org/cgi-bin/carddisp.pl?gene=HNRNPH1"
